Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1940.07,1138.01106131357,
1940.08,1134.83352743674,
1940.09,1133.81309565066,
1940.10,1116.06762048495,
1940.11,1090.97519108989,
1940.12,1109.95542892449,
1941.01,1081.19562529173,
1941.02,1036.72032341713,
1941.03,1072.54326858798,
1941.04,1059.40662642037,
1941.05,1021.01640942595,
1941.06,995.822110041891,
1941.07,1011.60311869351,
1941.08,998.226878521322,
1941.09,990.107992978893,
1941.10,1004.06448938129,
1941.11,984.473467380421,
1941.12,997.440189848454,
1942.01,1006.60025214295,
1942.02,1001.59229068951,
1942.03,1003.2978971146,
1942.04,957.253980645551,
1942.05,939.405280319483,
1942.06,907.024505474056,
1942.07,881.290813713618,
1942.08,869.895186766974,
1942.09,852.170049732536,
1942.10,862.520293251554,
1942.11,860.111979708367,
1942.12,861.922015941846,
1943.01,846.26609321733,
1943.02,834.581945973696,
1943.03,835.751998771974,
1943.04,810.544077947801,
1943.05,807.314818673108,
1943.06,811.127116118864,
1943.07,983.613596380077,
1943.08,981.748274658226,
1943.09,961.743999469261,
1943.10,923.067472376682,
1943.11,921.96111903384,
1943.12,1144.80680074783,
1944.01,1036.49325554353,
1944.02,1023.03235657485,
1944.03,991.785572960387,
1944.04,986.495423018417,
1944.05,962.391103028256,
1944.06,949.078232573406,
1944.07,952.265158000869,
1944.08,947.387172388307,
1944.09,945.702127720477,
1944.10,895.153312002996,
1944.11,864.235751812161,
1944.12,829.194604434825,
1945.01,820.55719435082,
1945.02,826.616476994473,
1945.03,808.547452938839,
1945.04,816.932676476199,
1945.05,816.932676476199,
1945.06,825.493551700573,
1945.07,819.292814532565,
1945.08,808.547452938839,
1945.09,810.85941022431,
1945.10,792.283198143419,
1945.11,786.569620848549,
1945.12,781.081189319668,
1946.01,760.552208937895,
1946.02,758.51786874493,
1946.03,760.552208937895,
1946.04,752.213700644426,
1946.05,744.186236362857,
1946.06,730.386132270407,
1946.07,719.879986600372,
1946.08,678.215694251092,
1946.09,652.518953402642,
1946.10,628.697824912023,
1946.11,611.964953549992,
1946.12,599.967587717943,
1947.01,567.850700360591,
1947.02,559.264976555145,
1947.03,550.863659096158,
1947.04,549.724511095374,
1947.05,557.506061798971,
1947.06,569.066292703446,
1947.07,592.942356716222,
1947.08,594.184856319072,
1947.09,582.868062593565,
1947.10,577.408758586518,
1947.11,574.98898056262,
1947.12,566.715789679912,
1948.01,558.090853931873,
1948.02,556.658014769018,
1948.03,555.94435064752,
1948.04,554.522498088319,
1948.05,550.999483488012,
1948.06,546.830508833626,
1948.07,545.454834597566,
1948.08,543.404252512613,
1948.09,541.36903059309,
1948.10,539.348996896847,
1948.11,538.010661916954,
1948.12,536.015566755334,
1949.01,530.766944314645,
1949.02,526.258001826535,
1949.03,521.197828732049,
1949.04,516.234039886982,
1949.05,511.967642863123,
1949.06,507.177302345105,
1949.07,505.403955134108,
1949.08,504.228597098913,
1949.09,502.475774629276,
1949.10,499.581328922886,
1949.11,496.720038379227,
1949.12,493.891336566133,
1950.01,492.20952724752,
1950.02,491.094669881161,
1950.03,489.431821111811,
1950.04,489.431821111811,
1950.05,500.735096426172,
1950.06,500.735096426172,
1950.07,487.780195168802,
1950.08,486.685290129141,
1950.09,485.052118014614,
1950.10,480.750103664152,
1950.11,477.047957651336,
1950.12,472.886143407922,
1951.01,463.782452946593,
1951.02,454.545695497971,
1951.03,446.128182618379,
1951.04,440.240196451843,
1951.05,434.505604714494,
1951.06,428.918490113813,
1951.07,426.807670772702,
1951.08,424.717525470191,
1951.09,422.647751954254,
1951.10,418.568140448904,
1951.11,414.170576413625,
1951.12,410.252217128727,
1952.01,1255.15922670191,
1952.02,1218.30846648735,
1952.03,1182.53775158185,
1952.04,1174.42428501868,
1952.05,1166.42139380902,
1952.06,1158.52683276801,
1952.07,1153.64677028794,
1952.08,1148.80764792935,
1952.09,1144.00895265813,
1952.10,1134.5308337463,
1952.11,1125.20847685438,
1952.12,1115.12924782719,
1953.01,1096.38007712713,
1953.02,1078.25095774156,
1953.03,1060.71163155057,
1953.04,1050.13705240168,
1953.05,1039.77123487607,
1953.06,1030.38278128802,
1953.07,1018.12543965188,
1953.08,1006.89611494984,
1953.09,995.18802058996,
1953.10,993.022999515435,
1953.11,990.867377953535,
1953.12,989.435488679035,
1954.01,960.967520232831,
1954.02,932.819289054349,
1954.03,908.076071838054,
1954.04,895.604131021442,
1954.05,883.470139568894,
1954.06,872.215742886487,
1954.07,1721.40630588534,
1954.08,1698.98103763249,
1954.09,1677.13253684236,
1954.10,1655.83883474218,
1954.11,1635.07906427676,
1954.12,1615.78609596671,
1955.01,1567.69171875419,
1955.02,1521.53190703532,
1955.03,1480.40942306139,
1955.04,1466.14423590127,
1955.05,1451.38178731509,
1955.06,1437.66794365542,
1955.07,1424.2108334184,
1955.08,1411.00331409767,
1955.09,1398.03850569861,
1955.10,1377.6445838348,
1955.11,1357.83710097351,
1955.12,1339.24568834405,
1956.01,1297.98930457989,
1956.02,1258.04199938612,
1956.03,1223.20564210075,
1956.04,1208.0976765168,
1956.05,1192.83860307647,
1956.06,1178.46705364181,
1956.07,1157.54752014521,
1956.08,1800.81641821041,
1956.09,1770.66800124567,
1956.10,1742.91235331618,
1956.11,1716.0134289872,
1956.12,1690.59100781702,
1957.01,1634.5141104601,
1957.02,1580.30828536831,
1957.03,1532.28478270341,
1957.04,1524.20595256614,
1957.05,1516.21186540233,
1957.06,1507.77675071302,
1957.07,1505.15999134004,
1957.08,1502.55229904735,
1957.09,1499.43497062609,
1957.10,1492.72493461296,
1957.11,1486.07468644642,
1957.12,1479.48343058705,
1958.01,1448.83592885087,
1958.02,1418.96791068412,
1958.03,1391.19856754914,
1958.04,1374.00695026954,
1958.05,1357.23503444465,
1958.06,1340.86763607009,
1958.07,1328.13658041368,
1958.08,1315.64500456634,
1958.09,1303.38621432241,
1958.10,1285.22997482236,
1958.11,1267.57262059359,
1958.12,1250.75452409883,
1959.01,1880.49809987886,
1959.02,1794.72964132606,
1959.03,1716.87401746714,
1959.04,1687.25815220772,
1959.05,1658.64670098327,
1959.06,1630.98941916602,
1959.07,1611.03378391975,
1959.08,1591.56057221268,
1959.09,1572.55249923265,
1959.10,1537.93656371495,
1959.11,1504.48112099735,
1959.12,1472.76695669153,
1960.01,1420.22268858306,
1960.02,1371.29853427978,
1960.03,1324.35078948916,
1960.04,1304.17020603027,
1960.05,1284.59541869774,
1960.06,1265.36565914968,
1960.07,1249.88929931707,
1960.08,1234.78693988439,
1960.09,1219.82782498823,
1960.10,1906.88071899988,
1960.11,1864.05134093148,
